"city","date","hour","avg_temperature_c","avg_pressure_mm"
Moscow,2023-08-12,14,-16,781
Moscow,2023-08-12,15,-16,781
Moscow,2023-08-12,16,-16,781
Moscow,2023-08-12,17,-16,781
Moscow,2023-08-12,18,-16,781
Moscow,2023-08-12,19,-16,781
Moscow,2023-08-12,20,-16,780
Moscow,2023-08-12,21,-15,780
Moscow,2023-08-12,22,-15,780
Moscow,2023-08-12,23,-15,780
Moscow,2023-09-12,0,-13,779
Moscow,2023-09-12,1,-13,779
Moscow,2023-09-12,2,-13,778
Moscow,2023-09-12,3,-13,778
Moscow,2023-09-12,4,-13,778
Moscow,2023-09-12,5,-13,778
Moscow,2023-09-12,6,-13,778
Moscow,2023-09-12,7,-13,778
Moscow,2023-09-12,8,-13,778
Moscow,2023-09-12,9,-13,778
Moscow,2023-09-12,10,-12,778
Moscow,2023-09-12,11,-12,778
Moscow,2023-09-12,12,-12,778
Moscow,2023-09-12,13,-12,777
Moscow,2023-09-12,14,-12,777
Moscow,2023-09-12,15,-12,777
Moscow,2023-09-12,16,-12,777
Moscow,2023-09-12,17,-12,777
Moscow,2023-09-12,18,-12,777
Moscow,2023-09-12,19,-12,777
Moscow,2023-09-12,20,-12,777
Moscow,2023-09-12,21,-12,777
Moscow,2023-09-12,22,-12,777
Novosibirsk,2023-07-12,23,-37,776
Novosibirsk,2023-08-12,0,-37,775
Novosibirsk,2023-08-12,1,-37,776
Novosibirsk,2023-08-12,2,-37,776
Novosibirsk,2023-08-12,3,-37,776
Novosibirsk,2023-08-12,4,-37,776
Novosibirsk,2023-08-12,5,-36,777
Novosibirsk,2023-08-12,6,-35,777
Novosibirsk,2023-08-12,7,-35,777
Novosibirsk,2023-08-12,8,-34,778
Novosibirsk,2023-08-12,9,-34,778
Novosibirsk,2023-08-12,10,-34,778
Novosibirsk,2023-08-12,11,-34,778
Novosibirsk,2023-08-12,12,-34,778
Novosibirsk,2023-08-12,13,-34,778
Novosibirsk,2023-08-12,14,-34,778
Novosibirsk,2023-08-12,15,-34,778
Novosibirsk,2023-08-12,16,-34,779
Novosibirsk,2023-08-12,17,-34,779
Novosibirsk,2023-08-12,18,-35,779
Novosibirsk,2023-08-12,19,-35,779
Novosibirsk,2023-08-12,20,-35,779
Novosibirsk,2023-08-12,21,-35,779
Novosibirsk,2023-08-12,22,-35,779
Novosibirsk,2023-08-12,23,-35,779
Novosibirsk,2023-09-12,0,-34,782
Novosibirsk,2023-09-12,1,-33,782
Novosibirsk,2023-09-12,2,-33,782
Novosibirsk,2023-09-12,3,-33,782
Novosibirsk,2023-09-12,4,-32,782
Novosibirsk,2023-09-12,5,-32,782
Novosibirsk,2023-09-12,6,-31,782
Novosibirsk,2023-09-12,7,-31,782
Novosibirsk,2023-09-12,8,-30,782
Novosibirsk,2023-09-12,9,-30,782
Novosibirsk,2023-09-12,10,-29,782
Novosibirsk,2023-09-12,11,-29,782
Novosibirsk,2023-09-12,12,-29,782
Novosibirsk,2023-09-12,13,-29,782
Novosibirsk,2023-09-12,14,-28,782
Novosibirsk,2023-09-12,15,-28,782
Novosibirsk,2023-09-12,16,-28,782
Novosibirsk,2023-09-12,17,-28,782
Novosibirsk,2023-09-12,18,-28,782
Novosibirsk,2023-09-12,19,-27,782
Novosibirsk,2023-09-12,20,-27,782
Novosibirsk,2023-09-12,21,-27,782
Novosibirsk,2023-09-12,22,-27,782
Saint Petersburg,2023-07-12,23,-18,779
Saint Petersburg,2023-08-12,0,-19,779
Saint Petersburg,2023-08-12,1,-19,779
Saint Petersburg,2023-08-12,2,-19,779
Saint Petersburg,2023-08-12,3,-18,779
Saint Petersburg,2023-08-12,4,-18,779
Saint Petersburg,2023-08-12,5,-18,779
Saint Petersburg,2023-08-12,6,-18,778
Saint Petersburg,2023-08-12,7,-17,778
Saint Petersburg,2023-08-12,8,-17,778
Saint Petersburg,2023-08-12,9,-17,778
Saint Petersburg,2023-08-12,10,-16,778
Saint Petersburg,2023-08-12,11,-16,778
Saint Petersburg,2023-08-12,12,-16,778
Saint Petersburg,2023-08-12,13,-15,778
Saint Petersburg,2023-08-12,14,-15,778
Saint Petersburg,2023-08-12,15,-15,778
Saint Petersburg,2023-08-12,16,-15,777
Saint Petersburg,2023-08-12,17,-15,777
Saint Petersburg,2023-08-12,18,-14,777
Saint Petersburg,2023-08-12,19,-14,777
Saint Petersburg,2023-08-12,20,-14,777
Saint Petersburg,2023-08-12,21,-14,777
Saint Petersburg,2023-08-12,22,-14,777
Saint Petersburg,2023-08-12,23,-14,777
Saint Petersburg,2023-09-12,0,-11,775
Saint Petersburg,2023-09-12,1,-11,775
Saint Petersburg,2023-09-12,2,-11,775
Saint Petersburg,2023-09-12,3,-11,775
Saint Petersburg,2023-09-12,4,-12,775
Saint Petersburg,2023-09-12,5,-12,775
Saint Petersburg,2023-09-12,6,-12,775
Saint Petersburg,2023-09-12,7,-12,775
Saint Petersburg,2023-09-12,8,-12,775
Saint Petersburg,2023-09-12,9,-12,775
Saint Petersburg,2023-09-12,10,-12,774
Saint Petersburg,2023-09-12,11,-12,774
Saint Petersburg,2023-09-12,12,-12,774
Saint Petersburg,2023-09-12,13,-11,774
Saint Petersburg,2023-09-12,14,-11,774
Saint Petersburg,2023-09-12,15,-11,774
Saint Petersburg,2023-09-12,16,-11,774
Saint Petersburg,2023-09-12,17,-11,774
Saint Petersburg,2023-09-12,18,-11,774
Saint Petersburg,2023-09-12,19,-11,773
Saint Petersburg,2023-09-12,20,-11,773
Saint Petersburg,2023-09-12,21,-11,773
Saint Petersburg,2023-09-12,22,-11,773
Tula,2023-07-12,23,-16,779
Tula,2023-08-12,0,-16,779
Tula,2023-08-12,1,-16,779
Tula,2023-08-12,2,-16,779
Tula,2023-08-12,3,-16,779
Tula,2023-08-12,4,-16,779
Tula,2023-08-12,5,-16,779
Tula,2023-08-12,6,-16,779
Tula,2023-08-12,7,-15,779
Tula,2023-08-12,8,-15,779
Tula,2023-08-12,9,-15,779
Tula,2023-08-12,10,-15,779
Tula,2023-08-12,11,-14,779
Tula,2023-08-12,12,-14,779
Tula,2023-08-12,13,-14,779
Tula,2023-08-12,14,-14,779
Tula,2023-08-12,15,-14,779
Tula,2023-08-12,16,-14,779
Tula,2023-08-12,17,-13,779
Tula,2023-08-12,18,-13,779
Tula,2023-08-12,19,-13,779
Tula,2023-08-12,20,-13,779
Tula,2023-08-12,21,-13,779
Tula,2023-08-12,22,-13,779
Tula,2023-08-12,23,-13,779
Tula,2023-09-12,0,-11,777
Tula,2023-09-12,1,-11,777
Tula,2023-09-12,2,-11,777
Tula,2023-09-12,3,-11,777
Tula,2023-09-12,4,-11,777
Tula,2023-09-12,5,-11,777
Tula,2023-09-12,6,-11,776
Tula,2023-09-12,7,-11,776
Tula,2023-09-12,8,-10,776
Tula,2023-09-12,9,-10,776
Tula,2023-09-12,10,-10,776
Tula,2023-09-12,11,-10,776
Tula,2023-09-12,12,-10,776
Tula,2023-09-12,13,-10,776
Tula,2023-09-12,14,-10,776
Tula,2023-09-12,15,-10,776
Tula,2023-09-12,16,-10,776
Tula,2023-09-12,17,-10,776
Tula,2023-09-12,18,-10,776
Tula,2023-09-12,19,-10,776
Tula,2023-09-12,20,-10,776
Tula,2023-09-12,21,-10,776
Tula,2023-09-12,22,-10,776
